difficulty,ILP,ILP GPU,Hill Climbing v1,Hill Climbing v3,Offering Order
4,236,236,236.0,236.0,nan
5,408,408,408.0,408.0,nan
6,573,573,573.0,573.0,nan
7,706,706,706.0,706.0,nan
8,838,838,815.0,815.0,nan
9,947,947,918.0,917.0,nan
10,1050,1050,1020.0,1005.0,nan
11,1152,1152,1108.0,1087.0,nan
12,1247,1247,1190.0,1158.0,nan
13,1340,1340,1261.0,1228.0,nan
14,1422,1422,1325.0,1256.0,nan
15,1493,1493,1353.0,1256.0,nan
16,1547,1547,1353.0,nan,nan
17,1581,1581,nan,nan,nan
18,1621,1621,nan,nan,nan
19,1635,1635,nan,nan,nan
20,1635,1635,nan,nan,nan
